Table,Column,Data Type,Constraints,Primary Key,Foreign Key,Purpose
zones,zone_id,SERIAL,NOT NULL,YES,NO,Unique identifier for each zone
zones,zone_name,VARCHAR(100),UNIQUE (with camera_id),NO,NO,"Human-readable name for the zone (e.g. ""Entrance Floor 1"")"
zones,camera_id,VARCHAR(50),UNIQUE (with zone_name),NO,NO,Identifier linking zone to physical camera
zones,polygon_coordinates,JSONB,,NO,NO,Normalized polygon vertices for Roboflow PolygonZone; stores array of [x y] pairs
zones,floor,VARCHAR(20),,NO,NO,"Floor level identifier (e.g. ""L1"" ""L2"" ""B1"")"
zones,zone_type,VARCHAR(50),,NO,NO,Categorical type: entrance entrance queue checkout corridor intrusion_detection etc.
zones,reid_enabled,BOOLEAN,DEFAULT FALSE,NO,NO,Flag indicating if ReID tracking is active in this zone
detection_events,unique_detection_id,SERIAL,NOT NULL,YES,NO,Unique identifier for each detection frame event
detection_events,timestamp,TIMESTAMP,,NO,NO,UTC timestamp of frame capture
detection_events,frame_number,INT,,NO,NO,Sequential frame count from video stream
detection_events,camera_id,VARCHAR(50),,NO,NO,Source camera identifier
detection_events,zone_id,INT,REFERENCES zones(zone_id),NO,YES,Zone where detection occurred; null if outside all zones
detection_events,polygon_zone_id,INT,REFERENCES zones(zone_id),NO,YES,Specific polygon zone for spatial filtering (distinct from zone_id)
detection_events,model_name,VARCHAR(100),,NO,NO,"Model used for detection (e.g. ""PeopleNet_ONNX"")"
detection_events,object_class,VARCHAR(50),,NO,NO,"Detected class label (e.g. ""person"")"
detection_events,confidence,FLOAT,,NO,NO,Model confidence score 0.0-1.0
detection_events,bbox,JSONB,,NO,NO,"JSON object: {""x"": float ""y"": float ""width"": float ""height"": float} in normalized coordinates"
detection_events,track_id,VARCHAR(50),,NO,NO,Intra-video tracking ID from ByteTrack or similar; resets per video segment
detection_events,reid_type,VARCHAR(20),,NO,NO,"ReID method identifier (e.g. ""OSNet"" ""None"")"
detection_events,reid_id,VARCHAR(50),,NO,NO,Cross-video ReID identity; matches reid_features.reid_id if confident match found
