unique_detection_id,emotion,confidence,bbox
1,neutral,0.6991,"{""x1"": 404, ""y1"": 80, ""x2"": 554, ""y2"": 340}"
2,surprise,0.7361,"{""x1"": 403, ""y1"": 430, ""x2"": 527, ""y2"": 776}"
3,neutral,0.9508,"{""x1"": 797, ""y1"": 422, ""x2"": 969, ""y2"": 747}"
4,neutral,0.962,"{""x1"": 296, ""y1"": 60, ""x2"": 422, ""y2"": 429}"
5,neutral,0.5533,"{""x1"": 135, ""y1"": 310, ""x2"": 285, ""y2"": 681}"
6,happy,0.6463,"{""x1"": 456, ""y1"": 140, ""x2"": 544, ""y2"": 382}"
7,happy,0.7989,"{""x1"": 326, ""y1"": 278, ""x2"": 440, ""y2"": 482}"
8,neutral,0.8053,"{""x1"": 448, ""y1"": 432, ""x2"": 543, ""y2"": 657}"
9,neutral,0.758,"{""x1"": 234, ""y1"": 197, ""x2"": 355, ""y2"": 371}"
10,neutral,0.6657,"{""x1"": 268, ""y1"": 301, ""x2"": 421, ""y2"": 477}"
11,happy,0.7416,"{""x1"": 598, ""y1"": 471, ""x2"": 773, ""y2"": 854}"
12,neutral,0.6837,"{""x1"": 324, ""y1"": 408, ""x2"": 480, ""y2"": 669}"
13,sad,0.6091,"{""x1"": 265, ""y1"": 397, ""x2"": 412, ""y2"": 662}"
14,neutral,0.5654,"{""x1"": 629, ""y1"": 141, ""x2"": 733, ""y2"": 530}"
15,sad,0.9733,"{""x1"": 685, ""y1"": 465, ""x2"": 767, ""y2"": 699}"
16,neutral,0.8396,"{""x1"": 700, ""y1"": 188, ""x2"": 850, ""y2"": 416}"
17,neutral,0.8096,"{""x1"": 451, ""y1"": 399, ""x2"": 541, ""y2"": 629}"
18,neutral,0.5912,"{""x1"": 573, ""y1"": 244, ""x2"": 656, ""y2"": 586}"
19,neutral,0.6735,"{""x1"": 375, ""y1"": 285, ""x2"": 542, ""y2"": 653}"
20,sad,0.7535,"{""x1"": 489, ""y1"": 313, ""x2"": 623, ""y2"": 708}"
21,neutral,0.8826,"{""x1"": 799, ""y1"": 143, ""x2"": 930, ""y2"": 389}"
22,happy,0.6342,"{""x1"": 488, ""y1"": 245, ""x2"": 663, ""y2"": 593}"
23,happy,0.8047,"{""x1"": 560, ""y1"": 415, ""x2"": 656, ""y2"": 585}"
24,neutral,0.5745,"{""x1"": 688, ""y1"": 128, ""x2"": 757, ""y2"": 331}"
25,happy,0.7444,"{""x1"": 358, ""y1"": 498, ""x2"": 475, ""y2"": 816}"
26,neutral,0.9183,"{""x1"": 246, ""y1"": 297, ""x2"": 320, ""y2"": 472}"
27,neutral,0.9024,"{""x1"": 127, ""y1"": 435, ""x2"": 217, ""y2"": 691}"
28,neutral,0.8655,"{""x1"": 142, ""y1"": 322, ""x2"": 305, ""y2"": 566}"
